movie_title,movie_score,movie_description,movie_type,release_date,director,rating,country,main_actors,movie_genre
Kummeli Alivuokralainen,11.2,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Horror,7/12/2001,Julita Gavini,8.2,China,Sharleen Prover,Fantasy
"Mourning Forest, The (Mogari no mori)",15.9,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Drama,10/9/1921,Frederich Comber,3.1,Ukraine,Breanne Witcherley,Fantasy
Ida,83.8,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Drama,8/31/1926,Brietta Lantaph,0.9,Indonesia,Rosy Nanninini,Romance
Schtonk!,27.0,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Comedy,9/25/1959,Penelopa Bunyan,0.3,Russia,Hansiain Alyoshin,Animation
"Aviator, The",47.9,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Comedy,7/6/1997,Knox Lowder,5.1,Poland,Holly-anne Stoakes,Thriller
Cheeky Girls,62.3,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Sci-Fi,4/15/1991,Farand Lengthorn,6.1,Peru,Gloriane Ricco,Mystery
Jungle Book,96.6,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Horror,9/13/1912,Lola Gimblett,5.7,Moldova,Verna Slides,Fantasy
"Statues Also Die (Statues meurent aussi, Les)",31.7,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Horror,3/21/1940,Cordi Cashmore,0.1,Lebanon,Lauritz Phillpot,Animation
"Circle, The (Dayereh)",36.4,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Sci-Fi,1/30/1901,Zorana Selwin,10.0,Brazil,Gloriane Myhill,Romance
Klimt,89.2,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Sci-Fi,1/10/1903,Elli Pideon,5.2,Russia,Trip Butters,Mystery
Kronos (a.k.a. Captain Kronos: Vampire Hunter),67.2,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Drama,9/5/2011,Herrick Young,9.9,Honduras,Albertine Lethardy,Thriller
"Brothers Karamazov, The",64.4,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Drama,11/30/1989,Sayers Garbutt,6.7,China,Cordie Dillintone,Mystery
"Chocolate Soldier, The",96.8,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Comedy,11/15/1946,Savina Paule,0.7,Niger,Gran Bottelstone,Animation
Crossroads,61.0,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Sci-Fi,2/23/1985,Miranda Sleeman,5.4,Tunisia,Gustav Matuszewski,Thriller
"Machinist, The (Maquinista, El)",68.7,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Horror,11/15/1995,Bax Rosedale,7.0,United States,Timmi Gidley,Fantasy
127 Hours,45.2,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Horror,8/1/2015,Star Wardhaugh,4.1,Morocco,Mercedes MacGiolla Pheadair,Fantasy
Carlos,78.0,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Action,9/14/1941,Merrill Jeays,9.9,Netherlands,Delinda Larrett,Romance
Virginia's Run,78.4,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Sci-Fi,11/21/1977,Lilli Maccree,0.2,Colombia,Carolan Leivers,Animation
Gummo,83.2,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Horror,7/4/1905,Debi Ballston,3.8,Estonia,Conrade Pitceathly,Animation
Americano,80.7,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Horror,3/25/1989,Torrie Bessell,6.2,Kazakhstan,Konstance MacDougal,Fantasy
Nothing's All Bad,10.4,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Horror,9/24/1989,Vick Birch,0.9,Japan,Eirena Golder,Fantasy
Unfaithful,25.5,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Action,10/20/1983,Heida Gentiry,7.7,France,Glynn Fitchet,Romance
Every Girl Should Be Married,36.5,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",Action,10/16/1973,Cammy Clayill,9.4,Ireland,Lucais Hackin,Romance
"Dreamworlds II: Desire, Sex, Power in Music Video",79.9,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Sci-Fi,11/6/2008,Moritz Mountcastle,1.9,Portugal,Tedi Gowdie,Thriller
Breakfast with Scot,72.3,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",Comedy,5/15/1935,Merissa Ayscough,8.9,Brazil,Franni Kidstone,Romance
"Sunfish, The (Klumpfisken)",30.1,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Horror,6/24/1905,Ellery Durbridge,7.4,Indonesia,Ely Chevins,Romance
Cops,25.4,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Comedy,12/20/1970,Georgy Bonin,6.8,Portugal,Boigie Liddyard,Fantasy
Lower City (Cidade Baixa),55.9,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Horror,11/25/1940,Robbie Colaco,6.6,Indonesia,Colin Leyfield,Mystery
Kiss Me Kate,16.1,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Action,3/25/1936,Yurik Haitlie,4.3,Peru,Guthrey Couzens,Mystery
Aningaaq,24.6,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Sci-Fi,7/3/1930,Bjorn Ganforthe,6.9,Thailand,Rickie Searson,Thriller
Stonewall Uprising,54.9,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Comedy,5/16/1966,Westbrook Hayles,3.1,Bulgaria,Valaria Grayer,Fantasy
Last Run,37.1,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Drama,2/21/2000,Taryn Berry,0.4,Iran,Denver Firminger,Romance
"Weight of Water, The",58.1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Horror,11/19/1988,Dierdre Yearns,0.2,Russia,Nestor Chasney,Animation
"Dude, Where's My Car?",46.3,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Action,11/18/1937,Heywood Heliar,1.8,Philippines,Corena Ghidelli,Thriller
Madam Satan,45.8,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Sci-Fi,7/30/1964,Hilliard Stannus,4.1,United States,Niel Highton,Romance
London Conspiracy,78.1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Horror,10/21/1980,Nikolas Ferrucci,5.9,Philippines,Lacie Harewood,Romance
"Wave, The (Welle, Die)",5.3,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Comedy,9/9/2008,Elijah Saxton,8.6,Puerto Rico,Perl Fillgate,Animation
Second in Command,87.2,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Action,2/28/1942,Mickey Brauner,7.4,Philippines,Karen Edwards,Animation
"Honest Liar, An",40.7,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Drama,1/10/1942,Estel Overstall,1.0,Colombia,Clarance Dei,Animation
Taffin,51.3,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Sci-Fi,2/2/1971,Barnabe Lokier,6.9,United States,Reagen Colnet,Fantasy
Wild Rovers,59.7,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Drama,7/31/2021,Brade Samudio,2.1,China,Chelsy Frangione,Mystery
"Bannen Way, The",55.7,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Drama,1/28/1908,Anthia Overthrow,6.4,Pakistan,Brew Ivanaev,Thriller
The Night That Panicked America,90.1,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",Sci-Fi,12/28/2002,Jo-anne Ethridge,5.1,Czech Republic,Heddie Ballchin,Animation
"Big Store, The",38.2,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Horror,2/5/1972,Meriel Copcote,2.7,Mexico,Waylin Muzzollo,Mystery
Used People,10.6,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",Action,4/22/1962,Karena Allsup,8.5,Uganda,Jilleen Benko,Thriller
Ladybugs,67.3,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Action,11/18/1989,Fredericka Yeldon,9.0,France,Nonie Rupke,Fantasy
Brave New World,66.6,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Comedy,7/20/1988,Vaclav Eskrigge,8.9,China,Ilario Geany,Fantasy
Contraband,56.0,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Action,5/30/1907,Meridel Perche,6.8,Indonesia,Laurens Erdis,Fantasy
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),28.3,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Sci-Fi,9/12/1956,Ema Mourant,6.0,Pakistan,Archibaldo Kennifeck,Animation
Mugabe and the White African,40.7,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Horror,5/15/1951,Mia Longshaw,9.1,Bahamas,Guenna Hassent,Mystery
The War,36.0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Drama,1/30/1982,Brear Ricker,6.9,Philippines,Cathee Hamshar,Fantasy
Tales from the Hood,31.1,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Sci-Fi,3/24/1990,Carlie Gulliford,4.4,Honduras,Wood Don,Romance
"Last Run, The",43.7,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Comedy,2/15/1931,Lebbie Burbudge,3.0,Indonesia,Ariana Desport,Animation
Gray's Anatomy,16.5,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Action,6/3/1928,Denver Crewther,3.9,China,Crissie Cockayme,Mystery
Stolen Kisses (Baisers volés),88.7,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Sci-Fi,3/17/2015,Kalvin Vater,0.7,Ukraine,Lauree Mindenhall,Romance
Life,33.5,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Horror,5/6/1956,Erasmus Tyrer,0.4,Mexico,Danita Curtiss,Fantasy
There's No Business Like Show Business,25.8,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Drama,6/19/1963,Alexina Coopland,0.7,Indonesia,Clive Flippen,Animation
"Strange One, The",18.8,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Horror,2/14/1976,Stefan Smaridge,1.1,Ukraine,Shermy Muddicliffe,Mystery
Amazing Johnathan: Wrong on Every Level,66.9,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Sci-Fi,7/12/1971,Klarrisa Rilings,2.7,Philippines,Ophelie Fenwick,Mystery
"Brothers Grimm, The",70.5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Horror,11/13/1938,Harriette Yantsev,3.6,China,Cyrillus Siggee,Thriller
Prime Suspect: The Lost Child,45.4,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Sci-Fi,8/13/1996,Freeman Vell,7.3,Japan,Basilius Mazzeo,Mystery
"Late Show, The",89.7,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Comedy,3/20/2006,Cammy Widdowson,6.5,France,Cassondra Leven,Mystery
War Horse,25.1,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Comedy,2/20/2002,Dinny Fost,5.4,Albania,Marcie Bettridge,Mystery
Let it Come Down: The Life of Paul Bowles,78.8,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Action,5/11/1936,Huey Stayt,1.9,Indonesia,Babette Tomek,Fantasy
Prairie Love,95.3,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Comedy,5/18/1911,Alla Twiddy,0.3,Malaysia,Malynda Arboin,Fantasy
Queen Kelly,63.6,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Drama,1/7/1931,Lancelot Leighton,3.5,Malawi,Tani Peploe,Romance
Just Friends,19.8,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Sci-Fi,12/6/1973,Opalina Stannering,4.5,China,Lorene Swaby,Fantasy
Death of a Dynasty,46.6,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Drama,8/6/1947,Jermayne Jakov,5.5,China,Leora Ness,Mystery
"Woman's Face, A (En kvinnas ansikte) ",59.7,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Horror,1/3/2017,Julio Coker,7.6,New Zealand,Kiersten Blackboro,Thriller
"Bullet for the General, A (Quién Sabe?)",63.8,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Horror,1/25/1956,Jan Martusov,9.0,Cuba,Sayre Nowakowska,Mystery
Double Trouble,88.5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Horror,1/12/2010,Lelia Creaser,0.2,Venezuela,Arte Streak,Animation
Endgame,78.5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Drama,11/24/1900,Percy Millbank,9.6,Indonesia,Warden Saban,Mystery
Daydream Nation,54.9,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Comedy,7/11/1980,Anna-maria Castiglione,0.9,Cuba,Reinaldo Greenman,Animation
Mutant Chronicles,89.6,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Horror,10/31/1971,Kingsley Pett,5.3,Peru,Lorilyn Squire,Mystery
In the Folds of the Flesh,86.6,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Horror,9/6/1946,Maurizio Goodswen,9.7,Cuba,Minnie Cauldfield,Fantasy
Shot in the Heart,11.9,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Horror,1/23/1901,Salomo Bend,5.8,Poland,Jedediah Maffezzoli,Mystery
Dante's Peak,8.8,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Comedy,2/19/1965,Lucias Butten,3.4,United States,Lorelle Janca,Mystery
Little Miss Sunshine,34.5,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Drama,6/21/1953,Rachele MacTeggart,6.8,Greece,Ardys Osgardby,Thriller
Journey Into Fear,81.3,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Action,7/24/1941,Ebeneser Glanz,4.1,Poland,Isabelle Roddell,Fantasy
Posse,41.3,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Drama,8/14/1915,Hedwiga Gouldstraw,7.5,Indonesia,Hugh Hughes,Romance
